index,context,target,output,neg1,neg2,neg3
478,i dropped out of college a month ago.,i like basketball.,I love to watch birds.,"I just graduated high school, so I don't have to work as much as I use to. I got my dream job as a ballerina in NYC.",I'm currently at college to study for a business engineering degree.,I am glad to hear that you've found a better balance in life.
479,i dropped out of college a month ago.,i like basketball.,"That stinks, I'm sorry. I just got in on a basketball scholarship.","I went to college to get a degree in swimming, but all I got was a life jacket for my swim machine.",I'm thinking I should drop out of college and focus on the pool,"I wanted to do better in the swimming, so I'm just about to drop out of college."
480,i dropped out of college a month ago.,i like basketball.,"I dropped out of college a month ago and I'm not sure what I'm going to do with my life, but I'll probably pursue an athletic career because I like basketball.","I like mustard, but I couldn't get into college because I couldn't get a job.",I am in college now though.,I was so sad that I failed college.
482,i have a daughter.,i am a great cook.,"I am trying to cook better meals for my family, do you have any family friendly recipes?",I have a daughter.,That's great! I'm going to become a father of a baby too.,I have a son who takes care of him.
483,i have a daughter.,i am a great cook.,"I've never had children, so I had time to develop hobbies, and I'm a great cook if I do say so myself.",I like to have a little bit of the grass too.,My daughter was conceived in the shade of grass and I have a daughter who's mother is a woman.,"I think it's too dark for her, she likes to dress like a girl."
484,i have been told i act like their father even though we are the same age.,i feel drawn to many objects.,That is weird that they think you act like their father.  I sometimes prefer to deal with objects instead of people.,"That's nice. How old are you, if you don't mind me asking?",I enjoy getting flowers.,I don't really care.  I just like flowers.
485,i have been told i act like their father even though we are the same age.,i feel drawn to many objects.,How we act and feel can totally be related to what kind of living arrangement we grow to be a part of.,my job just allows me to work from home.,I have been told that my age is an indicator of how I act.,But do you have a professional job or do you just work for yourself?
486,i have been told i act like their father even though we are the same age.,i feel drawn to many objects.,"That's weird, is that what your mom wants? Or are you just drawn to them in that way?",I grew up in a household with my father and I always act like his father but my follicles have never been red.,"I act like my father sometimes despite being the same age, though.",I wear makeup.
487,i work in a lawyers firm.,"i have a lot of hair on my face , but none on my head.","Most lawyer firms require their employees to be clean shaven, so I couldn't have a beard if I worked there.",The lawyers firm treats me extremely well.,I want to be able to work at my current firm.,I would like to work in a lawyers firm as well.
488,i work in a lawyers firm.,"i have a lot of hair on my face , but none on my head.","I could never work or basically be a lawyer or such -- too much stress and too ""unfit"" for me.",I work with numbers when I am not working.,"I love to help my clients with numbers, but in my job I want to learn more about how to do things professionally.",I like to work with numbers.
